school_id,dep_id,school_name,department_name,depname_abbr,school_group_my,category_id,category_name,basic_class_rank,basic_preference_score,des_class_rank,new_des_score
13,13252,國立交通大學,人文社會學系,交大人文社會,1,2,藝術及人文,104,0.734816,110,464.4430493
40,40092,元智大學,人文社會學院英語學士班,,4,3,社會科學、新聞學及圖書資訊,315,-0.126363,466,368.367222
11,11042,國立清華大學,人文社會學院學士班,清大人社學院,1,2,藝術及人文,39,1.421639,96,467.8470331
108,108122,慈濟大學,人類發展與心理學系,慈濟人類心理,6,3,社會科學、新聞學及圖書資訊,538,-0.603708,649,313.9851187
1,1052,國立臺灣大學,人類學系,臺大人類學系,1,2,藝術及人文,27,1.68387,17,499.1876177
47,47072,世新大學,口語傳播學系,世新口語傳播,5,3,社會科學、新聞學及圖書資訊,358,-0.23751,448,371.9448088
51,51122,長榮大學,土地管理與開發學系,長榮土地管理,6,7,工程、製造及營建,609,-0.755882,715,285.2735443
15,15332,逢甲大學,土地管理學系,逢甲土地管理,4,4,商業、管理及法律,438,-0.404569,443,372.9626049
6,6332,國立政治大學,土耳其語文學系,政大土耳其語,1,2,藝術及人文,86,0.900156,77,474.0659491
14,14042,淡江大學,大眾傳播學系,淡江大傳,4,3,社會科學、新聞學及圖書資訊,472,-0.475377,380,387.2106145
45,45382,義守大學,大眾傳播學系,義守大傳,6,3,社會科學、新聞學及圖書資訊,579,-0.700152,657,309.2260673
65,65052,玄奘大學,大眾傳播學系,玄奘大傳,6,3,社會科學、新聞學及圖書資訊,629,-0.808954,793,241.2516664
17,17482,中國文化大學,大眾傳播學系,文化大傳,6,3,社會科學、新聞學及圖書資訊,704,-1.061274,612,329.0602884
18,18181,靜宜大學,大眾傳播學系,靜宜大傳,6,3,社會科學、新聞學及圖書資訊,709,-1.077353,587,336.2230669
1,1482,國立臺灣大學,工商管理學系企業管理組,臺大工商管理企管,1,4,商業、管理及法律,5,2.717483,5,514.8374636
9,9172,東海大學,工業工程與經營資訊學系(智慧經營與管理),東海工工經營資訊,4,4,商業、管理及法律,229,0.134415,748,271.1563008
153,153132,國立金門大學,工業工程與管理學系,金門工工,3,7,工程、製造及營建,474,-0.479959,468,368.0084339
42,42062,大葉大學,工業工程與管理學系,大葉工工,6,7,工程、製造及營建,617,-0.774212,797,232.6262308
43,43292,中華大學,工業產品設計系(創意生活組),,6,2,藝術及人文,766,-1.402689,761,264.973817
50,50062,實踐大學,工業產品設計學系(臺北校區),實踐工業設計,5,2,藝術及人文,28,1.650178,286,411.5606867
42,42472,大葉大學,工業設計學系,大葉工業設計,6,2,藝術及人文,163,0.395331,705,288.1719439
79,79232,真理大學,工業管理與經營資訊學系,,6,4,商業、管理及法律,630,-0.809506,792,243.5226032
43,43122,中華大學,工業管理學系,中華工管,6,7,工程、製造及營建,666,-0.907929,671,303.4737548
8,8172,中原大學,工業與系統工程學系管理組,中原工業系統管理,4,7,工程、製造及營建,258,0.028243,332,398.8125926
101,101262,國立高雄大學,工藝與創意設計學系,高雄工藝創意設計,3,2,藝術及人文,337,-0.169325,277,413.0643404
